epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,351.549,1.98312,3.56902,1.82033,0.00213,0.34384,0.14245,0.06925,1.72213,4.26652,1.60355,0.000547247,0.000547247,0.000547247
2,689.215,1.77079,2.67902,1.63351,0.25936,0.32773,0.30771,0.1436,1.75235,2.92873,1.73575,0.00108108,0.00108108,0.00108108
3,1032.56,1.76492,2.43392,1.60754,0.4163,0.3232,0.34805,0.15504,1.86855,2.61877,1.65247,0.0015929,0.0015929,0.0015929
4,1380.97,1.74429,2.18919,1.62411,0.29609,0.33999,0.28485,0.12829,1.76601,2.93946,1.62605,0.00156798,0.00156798,0.00156798
5,1719,1.72806,2.09522,1.63413,0.44438,0.39811,0.37407,0.16655,1.8389,2.33175,1.64202,0.00153497,0.00153497,0.00153497
6,2077.05,1.74732,1.995,1.64872,0.40781,0.41947,0.35695,0.15967,1.7629,2.03498,1.57399,0.00150197,0.00150197,0.00150197
7,2391.53,1.7116,1.91916,1.59229,0.35436,0.34839,0.34907,0.1468,1.8284,2.1577,1.63242,0.00146896,0.00146896,0.00146896
8,2762.45,1.69867,1.83871,1.58367,0.45486,0.45693,0.42791,0.18923,1.82738,1.992,1.70797,0.00143595,0.00143595,0.00143595
9,3140.36,1.68349,1.71172,1.62657,0.63012,0.45087,0.49932,0.23518,1.71391,1.77164,1.64343,0.00140295,0.00140295,0.00140295
10,3509.62,1.6573,1.79404,1.63254,0.42888,0.5077,0.43132,0.18967,1.71785,1.63381,1.64681,0.00136994,0.00136994,0.00136994
11,3876.35,1.63462,1.70678,1.55377,0.50845,0.49046,0.47531,0.20283,1.74233,1.66891,1.61185,0.00133693,0.00133693,0.00133693
12,4236.11,1.62474,1.66457,1.56213,0.59546,0.53221,0.52244,0.22964,1.68746,1.73849,1.5717,0.00130393,0.00130393,0.00130393
13,4566.97,1.65738,1.63452,1.59782,0.4634,0.5112,0.43705,0.18762,1.77745,1.82021,1.68634,0.00127092,0.00127092,0.00127092
14,5352.1,1.63179,1.57074,1.54539,0.42229,0.55604,0.43637,0.19539,1.63874,1.64265,1.50528,0.00123791,0.00123791,0.00123791
15,6848.02,1.55668,1.46515,1.4838,0.70341,0.42847,0.49422,0.234,1.61351,1.42552,1.52808,0.00120491,0.00120491,0.00120491
16,7326.35,1.57866,1.45662,1.53001,0.57439,0.49599,0.5147,0.23194,1.70598,1.58151,1.58508,0.0011719,0.0011719,0.0011719
17,7771.94,1.56749,1.45757,1.52535,0.58659,0.47829,0.47074,0.21191,1.7075,1.47252,1.59265,0.00113889,0.00113889,0.00113889
18,8135.26,1.51639,1.36048,1.48362,0.45558,0.64584,0.5297,0.22886,1.71058,1.56206,1.57042,0.00110589,0.00110589,0.00110589
19,8859.12,1.53719,1.33335,1.48642,0.66629,0.64496,0.64428,0.25617,1.72568,1.42392,1.60705,0.00107288,0.00107288,0.00107288
20,9281.05,1.5783,1.43301,1.53017,0.55405,0.48214,0.52233,0.21201,1.67832,1.42813,1.56323,0.00103987,0.00103987,0.00103987
